_id,project_id,construction_end_date,developer,district,latitude,longitude,min_price,name,sale_status,status,timestamp
69970e5b5e9b3b6c4023599c,3181,,,Abu Dhabi,24.474158799654298,54.61283819739584,2000000,Manchester City Yas Residences by Ohana,announced,under_construction,2026-02-19 18:51:31
69970e5d5e9b3b6c4023599d,3121,2028-09-30,,Meydan,25.17480238857963,55.30348998951905,1250000,Magnolia,presale,under_construction,2026-02-19 18:51:33
69970e5f5e9b3b6c4023599e,3002,2027-12-30,,JVC (Jumeirah Village Circle),25.05876771605937,55.211747690389494,1074000,Nexara by 7th Key,presale,under_construction,2026-02-19 18:51:35
69970e605e9b3b6c4023599f,3041,2027-12-31,,Meydan,25.152440157485824,55.287960126253566,1675000,Rabdan Square,presale,under_construction,2026-02-19 18:51:36
69970e625e9b3b6c402359a0,3141,2028-06-30,,Jebel Ali Village,25.01958171960721,55.109007813492475,624900,New Project at Al Wasl Gate,presale,under_construction,2026-02-19 18:51:38
69970e635e9b3b6c402359a1,3100,2028-06-30,,Meydan,25.173496486671596,55.30302007781757,1950000,Coralis Residences,presale,under_construction,2026-02-19 18:51:39
69970e655e9b3b6c402359a2,1963,2028-12-31,,Damac Suncity,25.023294566899168,55.296165929396565,680000,Damac Islands Phase 1 and 2,presale,under_construction,2026-02-19 18:51:41
69970e675e9b3b6c402359a3,3256,2028-03-31,,Dubai Islands,25.30077217771728,55.30102577585396,2200000,Isla Private Residences,presale,under_construction,2026-02-19 18:51:43
69970e685e9b3b6c402359a4,3052,2028-09-30,,Meydan,25.181198026051845,55.326909787724915,1827000,The Caden by Prescott,on_sale,under_construction,2026-02-19 18:51:44
69970e6a5e9b3b6c402359a5,3093,2028-12-31,,Al Barsha South 3,25.05563291689784,55.23597944047819,720000,The Central Uptown,presale,under_construction,2026-02-19 18:51:46
69970e6c5e9b3b6c402359a6,2646,2026-12-31,,Wadi Al Safa 2,25.101871594768777,55.369596645861904,1089270,Confident Preston,presale,under_construction,2026-02-19 18:51:48
69970e6e5e9b3b6c402359a7,3219,2027-10-31,,Dubai Production City,25.0263729628983,55.1942738971251,688000,Golf Terrace Residences,presale,under_construction,2026-02-19 18:51:50
69970e705e9b3b6c402359a8,3255,2028-12-31,,Arjan,25.056748707833698,55.23282559750641,580000,New Project by Grid Properties,presale,under_construction,2026-02-19 18:51:52
69970e725e9b3b6c402359a9,3033,2027-11-29,,Dubai Islands,25.299742183060864,55.297785671286285,2000000,CDS Wave,presale,under_construction,2026-02-19 18:51:54
69970e745e9b3b6c402359aa,3235,2027-09-30,,JLT (Jumeirah Lake Towers),25.072831355030893,55.14240163165551,1150000,Hilton Residences Dubai JLT,on_sale,under_construction,2026-02-19 18:51:56
69970e765e9b3b6c402359ab,3263,2027-12-31,,Dubai International City,25.177233646748533,55.400304777342804,540000,Listone Residence,presale,under_construction,2026-02-19 18:51:58
69970e785e9b3b6c402359ac,3166,2029-03-31,,Warsan 4,25.146021178170397,55.402493866574105,850000,Green Field,presale,under_construction,2026-02-19 18:52:00
69970e795e9b3b6c402359ad,3082,2027-09-30,,Palm Deira,25.300963443832917,55.30064688650658,2749440,Marea Residences,on_sale,under_construction,2026-02-19 18:52:01
